t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.2728,state,3,32.0256,1.959,-0.0147,,,31.0
0.2729,state,4,46.3520,-4.197,-0.0293,,,29.0
0.2822,cmd,3,32.0256,,,0.00,0.00,
0.2822,cmd,4,46.3520,,,0.00,0.00,
0.2828,state,3,32.0256,6.436,0.0147,,,31.0
0.2829,state,4,46.3520,-5.317,-0.0879,,,29.0
0.2924,cmd,3,32.0256,,,0.00,0.00,
0.2924,cmd,4,46.3520,,,0.00,0.00,
0.2929,state,3,32.0256,-2.518,-0.0147,,,31.0
0.2931,state,4,46.3520,-1.399,-0.0293,,,30.0
0.3022,cmd,3,32.0256,,,0.00,0.00,
0.3023,cmd,4,46.3520,,,0.00,0.00,
0.3027,state,3,32.0256,-6.436,-0.0440,,,31.0
0.3032,state,4,46.3740,-1.399,-0.0879,,,29.0
0.3124,cmd,3,32.0256,,,0.00,0.00,
0.3124,cmd,4,46.3520,,,0.00,0.00,
0.3130,state,3,32.0256,-1.399,-0.0147,,,31.0
0.3130,state,4,46.3740,-1.959,-0.0879,,,30.0
0.3223,cmd,3,32.0256,,,0.00,0.00,
0.3224,cmd,4,46.3740,,,0.00,0.00,
0.3229,state,3,32.0256,-4.197,-0.0440,,,31.0
0.3230,state,4,46.3740,5.317,-0.0879,,,30.0
0.3323,cmd,3,32.0256,,,0.00,0.00,
0.3324,cmd,4,46.3740,,,0.00,0.00,
0.3329,state,3,32.0256,1.959,-0.0147,,,31.0
0.3330,state,4,46.3520,-2.518,-0.0879,,,30.0
0.3421,cmd,3,32.0256,,,0.00,0.00,
0.3421,cmd,4,46.3740,,,0.00,0.00,
0.3427,state,3,32.0256,-0.839,-0.0440,,,31.0
0.3429,state,4,46.3740,-3.078,-0.0879,,,29.0
0.3524,cmd,3,32.0256,,,0.00,0.00,
0.3524,cmd,4,46.3520,,,0.00,0.00,
0.3530,state,3,32.0256,-4.757,-0.0147,,,31.0
0.3531,state,4,46.3740,0.839,-0.0879,,,29.0
0.3623,cmd,3,32.0256,,,0.00,0.00,
0.3623,cmd,4,46.3740,,,0.00,0.00,
0.3629,state,3,32.0256,2.518,-0.0440,,,31.0
0.3629,state,4,46.3740,-2.518,-0.0293,,,30.0
0.3723,cmd,3,32.0256,,,0.00,0.00,
