t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.2704,state,4,45.6489,0.280,-0.0879,,,30.0
0.2796,cmd,3,31.9597,,,79.37,2.98,
0.2796,cmd,4,45.6269,,,79.37,2.98,
0.2803,state,3,31.9597,3.078,-0.0440,,,31.0
0.2804,state,4,45.6489,-1.399,-0.1465,,,30.0
0.2896,cmd,3,31.9597,,,79.37,2.98,
0.2897,cmd,4,45.6269,,,79.37,2.98,
0.2902,state,3,31.9597,-1.399,-0.0440,,,31.0
0.2903,state,4,45.6489,0.839,-0.1465,,,30.0
0.2997,cmd,3,31.9597,,,79.37,2.98,
0.2998,cmd,4,45.6269,,,79.37,2.98,
0.3002,state,3,31.9597,-1.399,-0.0440,,,31.0
0.3004,state,4,45.6489,-6.436,-0.1465,,,30.0
0.3097,cmd,3,31.9597,,,79.37,2.98,
0.3097,cmd,4,45.6269,,,79.37,2.98,
0.3102,state,3,31.9597,1.399,-0.0440,,,31.0
0.3103,state,4,45.6489,-1.399,-0.0879,,,30.0
0.3198,cmd,3,31.9597,,,79.37,2.98,
0.3198,cmd,4,45.6269,,,79.37,2.98,
0.3203,state,3,31.9597,1.399,-0.0733,,,31.0
0.3205,state,4,45.6489,0.280,-0.0879,,,30.0
0.3297,cmd,3,31.9597,,,79.37,2.98,
0.3297,cmd,4,45.6269,,,79.37,2.98,
0.3301,state,3,31.9597,-3.638,-0.0440,,,31.0
0.3304,state,4,45.6489,3.078,-0.1465,,,30.0
0.3397,cmd,3,31.9597,,,79.37,2.98,
0.3397,cmd,4,45.6269,,,79.37,2.98,
0.3403,state,3,31.9597,-0.839,-0.0733,,,31.0
0.3404,state,4,45.6269,-5.317,-0.0879,,,30.0
0.3498,cmd,3,31.9597,,,79.37,2.98,
0.3498,cmd,4,45.6269,,,79.37,2.98,
0.3503,state,3,31.9597,6.996,-0.0440,,,31.0
0.3504,state,4,45.6489,-1.399,-0.0879,,,30.0
0.3596,cmd,3,31.9597,,,79.37,2.98,
0.3597,cmd,4,45.6269,,,79.37,2.98,
0.3603,state,3,31.9597,-4.757,-0.0733,,,31.0
0.3604,state,4,45.6489,-2.518,-0.0879,,,30.0
0.3697,cmd,3,31.9597,,,79.37,2.98,
0.3697,cmd,4,45.6269,,,79.37,2.98,
0.3702,state,3,31.9597,4.757,-0.0440,,,31.0
0.3703,state,4,45.6489,-1.399,-0.0879,,,30.0
0.3797,cmd,3,31.9597,,,79.37,2.98,
0.3797,cmd,4,45.6269,,,79.37,2.98,
0.3803,state,3,31.9597,0.280,-0.0733,,,31.0
0.3804,state,4,45.6489,2.518,-0.0879,,,30.0
0.3897,cmd,3,31.9597,,,79.37,2.98,
0.3897,cmd,4,45.6269,,,79.37,2.98,
0.3902,state,3,31.9597,6.436,-0.0440,,,31.0
0.3904,state,4,45.6489,-4.197,-0.0879,,,30.0
0.3997,cmd,3,31.9597,,,79.37,2.98,
0.3997,cmd,4,45.6269,,,79.37,2.98,
0.4003,state,3,31.9597,-8.675,-0.1319,,,31.0
0.4004,state,4,45.6489,-0.280,-0.0879,,,30.0
0.4097,cmd,3,31.9597,,,79.37,2.98,
0.4097,cmd,4,45.6269,,,79.37,2.98,
0.4103,state,3,31.9597,-4.197,-0.0147,,,31.0
0.4105,state,4,45.6489,-4.757,-0.1465,,,30.0
0.4197,cmd,3,31.9597,,,79.37,2.98,
0.4197,cmd,4,45.6269,,,79.37,2.98,
0.4203,state,3,31.9597,-0.280,-0.0147,,,31.0
0.4203,state,4,45.6489,0.280,-0.1465,,,30.0
0.4297,cmd,3,31.9597,,,79.37,2.98,
0.4297,cmd,4,45.6269,,,79.37,2.98,
0.4303,state,3,31.9597,6.436,-0.0147,,,31.0
0.4304,state,4,45.6489,1.399,-0.1465,,,30.0
0.4397,cmd,3,31.9597,,,79.37,2.98,
0.4397,cmd,4,45.6269,,,79.37,2.98,
