t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.2790,state,3,0.0549,0.280,-0.0147,,,37.0
0.2790,state,4,18.9957,0.280,-0.0879,,,35.0
0.2883,cmd,3,0.0549,,,0.00,0.00,
0.2883,cmd,4,18.9957,,,0.00,0.00,
0.2889,state,3,0.0549,5.876,-0.0440,,,37.0
0.2890,state,4,18.9957,-1.959,-0.0879,,,35.0
0.2983,cmd,3,0.0549,,,0.00,0.00,
0.2984,cmd,4,18.9957,,,0.00,0.00,
0.2990,state,3,0.0549,-3.638,-0.0440,,,37.0
0.2991,state,4,18.9957,-0.280,-0.0879,,,35.0
0.3083,cmd,3,0.0549,,,0.00,0.00,
0.3083,cmd,4,18.9957,,,0.00,0.00,
0.3090,state,3,0.0549,1.959,-0.0440,,,37.0
0.3091,state,4,18.9957,-4.197,-0.0293,,,35.0
0.3183,cmd,3,0.0549,,,0.00,0.00,
0.3183,cmd,4,18.9957,,,0.00,0.00,
0.3190,state,3,0.0549,-0.280,-0.0440,,,37.0
0.3191,state,4,18.9957,-0.839,-0.0293,,,35.0
0.3284,cmd,3,0.0549,,,0.00,0.00,
0.3284,cmd,4,18.9957,,,0.00,0.00,
0.3290,state,3,0.0549,-3.078,0.0147,,,37.0
0.3291,state,4,18.9957,-0.839,-0.0879,,,35.0
0.3383,cmd,3,0.0549,,,0.00,0.00,
0.3383,cmd,4,18.9957,,,0.00,0.00,
0.3390,state,3,0.0549,4.757,-0.0147,,,37.0
0.3390,state,4,18.9957,1.959,-0.0293,,,35.0
0.3483,cmd,3,0.0549,,,0.00,0.00,
0.3483,cmd,4,18.9957,,,0.00,0.00,
0.3489,state,3,0.0549,0.280,-0.0733,,,37.0
0.3490,state,4,18.9957,-1.959,-0.0293,,,35.0
0.3583,cmd,3,0.0549,,,0.00,0.00,
0.3583,cmd,4,18.9957,,,0.00,0.00,
0.3590,state,3,0.0549,-0.280,-0.0147,,,37.0
0.3591,state,4,18.9957,4.197,-0.0293,,,35.0
0.3683,cmd,3,0.0549,,,0.00,0.00,
0.3683,cmd,4,18.9957,,,0.00,0.00,
0.3689,state,3,0.0549,4.757,-0.0147,,,37.0
0.3690,state,4,18.9957,-2.518,-0.0879,,,35.0
0.3784,cmd,3,0.0549,,,0.00,0.00,
0.3784,cmd,4,18.9957,,,0.00,0.00,
0.3790,state,3,0.0549,3.078,-0.0440,,,37.0
0.3791,state,4,18.9957,-1.399,-0.0293,,,35.0
0.3883,cmd,3,0.0549,,,0.00,0.00,
0.3884,cmd,4,18.9957,,,0.00,0.00,
0.3890,state,3,0.0549,-0.839,-0.0440,,,37.0
0.3891,state,4,18.9957,-3.078,-0.0293,,,35.0
0.3984,cmd,3,0.0549,,,0.00,0.00,
0.3984,cmd,4,18.9957,,,0.00,0.00,
0.3990,state,3,0.0549,-3.638,-0.0147,,,37.0
0.3991,state,4,18.9957,-0.839,-0.0293,,,35.0
0.4083,cmd,3,0.0549,,,0.00,0.00,
0.4083,cmd,4,18.9957,,,0.00,0.00,
0.4090,state,3,0.0549,3.638,-0.0440,,,37.0
0.4090,state,4,18.9957,1.399,-0.0293,,,35.0
0.4184,cmd,3,0.0549,,,0.00,0.00,
0.4184,cmd,4,18.9957,,,0.00,0.00,
0.4189,state,3,0.0549,5.876,-0.0147,,,37.0
0.4194,state,4,18.9957,-2.518,-0.0879,,,35.0
0.4284,cmd,3,0.0549,,,0.00,0.00,
0.4284,cmd,4,18.9957,,,0.00,0.00,
0.4290,state,3,0.0549,8.675,-0.0147,,,37.0
0.4291,state,4,18.9957,1.959,-0.0293,,,35.0
0.4384,cmd,3,0.0549,,,0.00,0.00,
0.4384,cmd,4,18.9957,,,0.00,0.00,
0.4389,state,3,0.0549,7.555,-0.0440,,,37.0
0.4394,state,4,18.9957,0.280,-0.0879,,,35.0
0.4485,cmd,3,0.0549,,,0.00,0.00,
0.4485,cmd,4,18.9957,,,0.00,0.00,
0.4490,state,3,0.0549,4.197,-0.0440,,,37.0
0.4494,state,4,18.9957,-0.839,-0.0293,,,35.0
0.4585,cmd,3,0.0549,,,0.00,0.00,
0.4586,cmd,4,18.9957,,,0.00,0.00,
0.4591,state,3,0.0549,7.555,-0.0440,,,37.0
0.4596,state,4,18.9957,-3.638,-0.0879,,,35.0
0.4685,cmd,3,0.0549,,,0.00,0.00,
0.4686,cmd,4,18.9957,,,0.00,0.00,
0.4691,state,3,0.0549,-5.317,-0.0733,,,37.0
0.4696,state,4,18.9957,-5.317,-0.0879,,,35.0
0.4784,cmd,3,0.0549,,,0.00,0.00,
0.4785,cmd,4,18.9957,,,0.00,0.00,
0.4790,state,3,0.0549,3.638,0.0147,,,37.0
0.4794,state,4,18.9957,-0.839,-0.0293,,,35.0
0.4884,cmd,3,0.0549,,,0.00,0.00,
0.4884,cmd,4,18.9957,,,0.00,0.00,
0.4890,state,3,0.0549,-2.518,-0.0440,,,37.0
0.4891,state,4,18.9957,1.399,-0.0879,,,35.0
0.4986,cmd,3,0.0549,,,0.00,0.00,
0.4986,cmd,4,18.9957,,,0.00,0.00,
0.4990,state,3,0.0549,1.959,-0.0147,,,37.0
0.4997,state,4,18.9957,3.078,-0.0879,,,35.0
0.5085,cmd,3,0.0549,,,0.00,0.00,
0.5085,cmd,4,18.9957,,,0.00,0.00,
0.5090,state,3,0.0549,5.876,0.0147,,,37.0
0.5091,state,4,18.9957,-0.839,-0.0293,,,35.0
0.5184,cmd,3,0.0549,,,0.00,0.00,
0.5185,cmd,4,18.9957,,,0.00,0.00,
0.5190,state,3,0.0549,-1.959,-0.0440,,,37.0
0.5191,state,4,18.9957,-2.518,-0.0879,,,35.0
0.5285,cmd,3,0.0549,,,0.00,0.00,
0.5285,cmd,4,18.9957,,,0.00,0.00,
0.5290,state,3,0.0549,-0.839,-0.0733,,,37.0
0.5291,state,4,18.9957,-1.399,-0.0293,,,35.0
0.5385,cmd,3,0.0549,,,0.00,0.00,
0.5385,cmd,4,18.9957,,,0.00,0.00,
0.5390,state,3,0.0549,-8.675,-0.0440,,,37.0
0.5392,state,4,18.9957,4.197,-0.0293,,,35.0
0.5484,cmd,3,0.0549,,,0.00,0.00,
0.5484,cmd,4,18.9957,,,0.00,0.00,
0.5490,state,3,0.0549,3.078,-0.0440,,,37.0
0.5491,state,4,18.9957,-4.757,-0.0293,,,35.0
0.5585,cmd,3,0.0549,,,0.00,0.00,
0.5585,cmd,4,18.9957,,,0.00,0.00,
0.5591,state,3,0.0549,-3.078,-0.0147,,,37.0
0.5592,state,4,18.9957,1.399,-0.0879,,,35.0
0.5685,cmd,3,0.0549,,,0.00,0.00,
0.5685,cmd,4,18.9957,,,0.00,0.00,
0.5690,state,3,0.0549,-0.280,-0.0440,,,37.0
0.5691,state,4,18.9957,-1.399,-0.0879,,,35.0
0.5784,cmd,3,0.0549,,,0.00,0.00,
0.5784,cmd,4,18.9957,,,0.00,0.00,
0.5790,state,3,0.0549,-1.959,0.0440,,,37.0
0.5791,state,4,18.9957,1.959,-0.0293,,,35.0
0.5885,cmd,3,0.0549,,,0.00,0.00,
0.5885,cmd,4,18.9957,,,0.00,0.00,
0.5891,state,3,0.0549,0.839,-0.0147,,,37.0
0.5892,state,4,18.9957,-2.518,-0.0293,,,35.0
0.5984,cmd,3,0.0549,,,0.00,0.00,
0.5984,cmd,4,18.9957,,,0.00,0.00,
0.5990,state,3,0.0549,-1.399,-0.0440,,,37.0
0.5991,state,4,18.9957,-0.280,-0.0293,,,35.0
0.6084,cmd,3,0.0549,,,0.00,0.00,
0.6084,cmd,4,18.9957,,,0.00,0.00,
0.6090,state,3,0.0549,-1.399,-0.0440,,,37.0
0.6091,state,4,18.9957,1.399,-0.0293,,,35.0
0.6184,cmd,3,0.0549,,,0.00,0.00,
0.6184,cmd,4,18.9957,,,0.00,0.00,
0.6190,state,3,0.0549,-3.078,-0.0440,,,37.0
0.6191,state,4,18.9957,-0.280,-0.0879,,,35.0
0.6284,cmd,3,0.0549,,,0.00,0.00,
