t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.0032,cmd,3,16.0293,,,0.00,0.00,
0.0032,cmd,4,32.2234,,,0.00,0.00,
0.0034,state,3,16.0293,-6.436,-0.0440,,,30.0
0.0037,state,4,32.2234,-3.078,-0.0879,,,29.0
0.0127,cmd,3,16.0293,,,0.00,0.00,
0.0128,cmd,4,32.2234,,,0.00,0.00,
0.0132,state,3,16.0293,-3.638,-0.0147,,,30.0
0.0134,state,4,32.2234,1.959,-0.0293,,,29.0
0.0226,cmd,3,16.0293,,,0.00,0.00,
0.0227,cmd,4,32.2234,,,0.00,0.00,
0.0233,state,3,16.0293,-3.638,0.0147,,,30.0
0.0233,state,4,32.2234,0.280,-0.0879,,,29.0
0.0326,cmd,3,16.0293,,,0.00,0.00,
0.0326,cmd,4,32.2234,,,0.00,0.00,
0.0333,state,3,16.0293,-6.996,-0.0147,,,30.0
0.0333,state,4,32.2234,0.839,-0.0879,,,29.0
0.0426,cmd,3,16.0293,,,0.00,0.00,
0.0427,cmd,4,32.2234,,,0.00,0.00,
0.0432,state,3,16.0293,-10.354,-0.0147,,,30.0
0.0433,state,4,32.2234,0.280,-0.0293,,,29.0
0.0527,cmd,3,16.0293,,,0.00,0.00,
0.0527,cmd,4,32.2234,,,0.00,0.00,
0.0533,state,3,16.0293,-1.959,-0.0440,,,30.0
0.0534,state,4,32.2234,0.839,-0.0879,,,29.0
0.0626,cmd,3,16.0293,,,0.00,0.00,
0.0626,cmd,4,32.2234,,,0.00,0.00,
0.0633,state,3,16.0293,-4.197,-0.0147,,,30.0
0.0633,state,4,32.2234,-1.399,-0.0879,,,29.0
0.0726,cmd,3,16.0293,,,0.00,0.00,
0.0726,cmd,4,32.2234,,,0.00,0.00,
0.0732,state,3,16.0293,-4.757,-0.0440,,,30.0
0.0733,state,4,32.2234,-2.518,-0.0293,,,29.0
0.0827,cmd,3,16.0293,,,0.00,0.00,
0.0827,cmd,4,32.2234,,,0.00,0.00,
0.0833,state,3,16.0293,-1.399,-0.0147,,,30.0
0.0833,state,4,32.2234,1.399,-0.0879,,,29.0
0.0926,cmd,3,16.0293,,,0.00,0.00,
0.0927,cmd,4,32.2234,,,0.00,0.00,
0.0932,state,3,16.0293,0.839,-0.0147,,,30.0
0.0933,state,4,32.2234,-0.839,-0.0879,,,29.0
0.1027,cmd,3,16.0293,,,0.00,0.00,
0.1027,cmd,4,32.2234,,,0.00,0.00,
0.1033,state,3,16.0293,4.197,-0.0147,,,30.0
0.1033,state,4,32.2234,-4.757,-0.0879,,,29.0
0.1126,cmd,3,16.0293,,,0.00,0.00,
0.1126,cmd,4,32.2234,,,0.00,0.00,
0.1132,state,3,16.0293,0.280,-0.0147,,,30.0
0.1133,state,4,32.2234,-2.518,-0.0293,,,29.0
0.1226,cmd,3,16.0293,,,0.00,0.00,
0.1227,cmd,4,32.2234,,,0.00,0.00,
0.1233,state,3,16.0293,-1.959,-0.0147,,,30.0
0.1233,state,4,32.2454,2.518,-0.0879,,,29.0
0.1325,cmd,3,16.0293,,,0.00,0.00,
0.1326,cmd,4,32.2234,,,0.00,0.00,
0.1330,state,3,16.0293,5.317,-0.0733,,,30.0
0.1332,state,4,32.2234,4.757,-0.0879,,,29.0
0.1425,cmd,3,16.0293,,,0.00,0.00,
0.1426,cmd,4,32.2454,,,0.00,0.00,
0.1430,state,3,16.0293,-1.959,-0.0440,,,30.0
0.1432,state,4,32.2234,-4.757,-0.0879,,,29.0
0.1527,cmd,3,16.0293,,,0.00,0.00,
0.1527,cmd,4,32.2234,,,0.00,0.00,
0.1531,state,3,16.0293,3.078,-0.0440,,,30.0
0.1534,state,4,32.2234,-4.757,-0.0879,,,29.0
0.1626,cmd,3,16.0293,,,0.00,0.00,
0.1626,cmd,4,32.2234,,,0.00,0.00,
0.1630,state,3,16.0293,3.638,-0.0147,,,30.0
0.1634,state,4,32.2234,-5.876,-0.0293,,,29.0
0.1726,cmd,3,16.0293,,,0.00,0.00,
0.1726,cmd,4,32.2234,,,0.00,0.00,
0.1731,state,3,16.0293,-2.518,-0.0147,,,30.0
0.1734,state,4,32.2234,-2.518,-0.0879,,,29.0
0.1827,cmd,3,16.0293,,,0.00,0.00,
0.1827,cmd,4,32.2234,,,0.00,0.00,
0.1833,state,3,16.0293,-8.115,-0.0733,,,30.0
0.1835,state,4,32.2454,0.280,-0.0879,,,29.0
0.1927,cmd,3,16.0293,,,0.00,0.00,
0.1927,cmd,4,32.2234,,,0.00,0.00,
0.1930,state,3,16.0293,1.399,-0.0440,,,30.0
0.1934,state,4,32.2234,0.280,-0.0879,,,29.0
0.2026,cmd,3,16.0293,,,0.00,0.00,
0.2026,cmd,4,32.2454,,,0.00,0.00,
0.2033,state,3,16.0293,0.280,-0.0147,,,30.0
0.2033,state,4,32.2234,-3.078,-0.0293,,,29.0
0.2128,cmd,3,16.0293,,,0.00,0.00,
