t_s,cmd,pos_deg,vel_deg_s,tau_est_nm,temp_c
0.0008149220375344157,30.0,443.51006602250635,3.1481197534660503,-0.0879120879120876,35.0
0.007485128007829189,30.0,443.51006602250635,0.20987465023107005,-0.0879120879120876,35.0
0.00938728207256645,30.0,443.51006602250635,3.1481197534660503,0.2637362637362628,35.0
0.013431092025712132,30.0,443.51006602250635,4.407367654852471,0.3223443223443212,35.0
0.01744356704875827,30.0,443.5320453602185,3.9876183543903307,0.3809523809523796,35.0
0.024165301001630723,30.0,443.5979833733547,3.9876183543903307,0.6153846153846132,35.0
0.02642267697956413,30.0,443.5979833733547,8.185111359011731,0.6739926739926716,35.0
0.030393922002986073,30.0,443.6419420487787,10.703607161784571,0.6153846153846132,35.0
0.03447217296343297,30.0,443.6859007242027,10.703607161784571,0.6153846153846132,35.0
0.0395686209667474,30.0,443.7518387373389,13.641852265019553,0.5567765567765548,35.0
0.04458813299424946,30.0,443.83975608818696,13.641852265019553,0.4981684981684964,35.0
0.04941354400943965,30.0,443.90569410132315,16.58009736825453,0.6153846153846132,35.0
0.05446850904263556,30.0,443.9936114521714,15.320849466868113,0.6153846153846132,35.0
0.05643387301824987,30.0,444.01559078988333,15.320849466868113,0.6153846153846132,35.0
0.06045471096877009,30.0,444.0815288030195,14.061601565481693,0.6739926739926716,35.0
0.06443001003935933,30.0,444.1474668161557,15.740598767330253,0.7912087912087884,35.0
0.07152460399083793,30.0,444.235384167004,11.123356462246711,0.7912087912087884,35.0
0.07344429998192936,30.0,444.235384167004,7.3456127580874515,0.7912087912087884,35.0
0.07748862903099507,30.0,444.30132218013995,10.703607161784571,0.73260073260073,35.0
0.08151705702766776,30.0,444.32330151785203,6.086364856701031,0.8498168498168468,35.0
0.08641670900397003,30.0,444.34528085556417,6.9258634576253115,0.9084249084249052,35.0
0.09143269201740623,30.0,444.3672601932761,1.8888718520796304,0.9084249084249052,35.0
0.09540582506451756,30.0,444.3892395309882,1.0493732511553502,0.9670329670329636,35.0
0.09937621396966279,30.0,444.41121886870013,3.9876183543903307,0.9670329670329636,35.0
0.10656628501601517,30.0,444.4551775441244,3.5678690539281908,0.9084249084249052,35.0
0.10844146204181015,30.0,444.4551775441244,6.086364856701031,0.9084249084249052,35.0
0.11253183404915035,30.0,444.4771568818363,1.8888718520796304,0.8498168498168468,35.0
0.11736891698092222,30.0,444.4991362195484,5.666615556238891,0.9084249084249052,35.0
0.12158191401977092,30.0,444.54309489497246,4.827116955314611,0.9084249084249052,35.0
0.12640155805274844,30.0,444.5870535703965,5.666615556238891,0.8498168498168468,35.0
0.13035459397360682,30.0,444.6310122458207,10.283857861322431,0.8498168498168468,35.0
0.13745673501398414,30.0,444.6529915835327,7.7653620585495915,0.73260073260073,35.0
0.13958133396226913,30.0,444.6969502589569,8.185111359011731,0.7912087912087884,35.0
0.14358951605390757,30.0,444.74090893438097,12.382604363633131,0.6739926739926716,35.0
0.14841086301021278,30.0,444.784867609805,11.543105762708851,0.5567765567765548,35.0
0.15259310905821621,30.0,444.85080562294115,12.802353664095271,0.3809523809523796,35.0
0.15742114302702248,30.0,444.91674363607734,16.58009736825453,0.2051282051282044,35.0
0.16140025504864752,30.0,444.9826816492135,18.259094570103095,0.0293040293040292,35.0
0.16852140403352678,30.0,445.1145576754856,17.83934526964095,0.0879120879120876,35.0
0.17041463998612016,30.0,445.18049568862176,21.197339673338075,0.0879120879120876,35.0
0.1745437050703913,30.0,445.24643370175795,21.617088973800215,0.0879120879120876,35.0
0.17941109207458794,30.0,445.3783097280303,26.654080579345894,0.2051282051282044,35.0
0.18341797299217433,30.0,445.4662270788784,21.617088973800215,0.3223443223443212,35.0
0.18743190506938845,30.0,445.55414442972665,25.394832677959474,0.439560439560438,35.0
0.19137455604504794,30.0,445.64206178057475,24.135584776573054,0.439560439560438,35.0
0.19847638602368534,30.0,445.79591714455916,22.036838274262355,0.6153846153846132,35.0
0.20054315403103828,30.0,445.8618551576951,21.617088973800215,0.6739926739926716,35.0
0.2045789030380547,30.0,445.9277931708313,15.740598767330253,0.6739926739926716,35.0
0.20941977098118514,30.0,446.0157105216796,19.518342471489515,0.7912087912087884,35.0
0.2134750880068168,30.0,446.08164853481577,18.678843870565235,0.6739926739926716,35.0
0.2205917719984427,30.0,446.19154522337595,15.320849466868113,0.6739926739926716,35.0
0.22253595804795623,30.0,446.2355038988,16.58009736825453,0.5567765567765548,35.0
0.22654202801641077,30.0,446.27946257422406,15.320849466868113,0.5567765567765548,35.0
0.23137580300681293,30.0,446.3454005873602,10.703607161784571,0.5567765567765548,35.0
0.2354008259717375,30.0,446.4113386004964,12.382604363633131,0.5567765567765548,35.0
0.2394147029845044,30.0,446.45529727592043,11.962855063170991,0.6739926739926716,35.0
0.24637595703825355,30.0,446.5432146267687,6.506114157163171,0.73260073260073,35.0
0.2485106399981305,30.0,446.5432146267687,7.3456127580874515,0.6739926739926716,35.0
0.25251401506830007,30.0,446.58717330219275,11.123356462246711,0.6739926739926716,35.0
0.25754277303349227,30.0,446.6531113153289,8.604860659473871,0.6153846153846132,35.0
0.26261069800239056,30.0,446.69706999075294,9.864108560860291,0.5567765567765548,35.0
0.26740817504469305,30.0,446.7630080038891,11.543105762708851,0.4981684981684964,35.0
0.2713842160301283,30.0,446.8069666793132,11.123356462246711,0.3809523809523796,35.0
0.27563796704635024,30.0,446.8729046924493,10.703607161784571,0.3223443223443212,35.0
0.2804699130356312,30.0,446.9388427055855,16.58009736825453,0.3223443223443212,35.0
0.2844485050300136,30.0,447.00478071872163,13.222102964557411,0.2637362637362628,35.0
0.28845779807306826,30.0,447.0707187318578,17.41959596917881,0.2051282051282044,35.0
0.2924397250171751,30.0,447.15863608270587,22.876336875186635,0.2051282051282044,35.0
0.2995723830536008,30.0,447.33447078440224,22.456587574724495,0.3223443223443212,35.0
0.3014856920344755,30.0,447.3784294598263,25.814581978421614,0.2637362637362628,35.0
0.30546599300578237,30.0,447.48832614838653,25.394832677959474,0.3223443223443212,35.0
0.3105303900083527,30.0,447.62020217465886,23.296086175648774,0.439560439560438,35.0
0.3155765610281378,30.0,447.7520782009312,20.357841072413795,0.5567765567765548,35.0
0.3204432940110564,30.0,447.8399955517792,17.41959596917881,0.73260073260073,35.0
