stamp,qw,qx,qy,qz,gravity_x,gravity_y,gravity_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,accel_down_world_x,accel_down_world_y,accel_down_world_z,tilt_off_vertical_deg,dist_x,dist_y,dist_z,roll_deg,pitch_deg,yaw_deg,temp_c
94953.808070122,-0.8152,-0.0318,-0.0613,-0.575,0.06337352000000002,-0.12234171999999999,-0.99046214,-175.0,-129.87,12.6,0.2745862,1.2062179499999999,10.5127288,-0.03778644549341059,-0.08131121120517802,-0.9959721907122568,5.144180090767063,-14.075,23.755,-10.97,7.041498706003202,3.6334701278174553,70.61500836612552,36.9
94953.887871976,-0.8283,0.124,-0.0379,-0.5451,0.19796994,0.16409982,-0.96637518,34.35,-50.12,136.53,2.69682875,-2.0299765499999998,6.040896399999999,-0.36145452703823383,-0.4536479241952841,-0.8145977776369048,35.4530072672897,-14.08,23.744,-10.969,-9.637444429949648,11.418271694182316,65.73317783942662,36.9
94953.927848036,-0.8502,0.0761,-0.0291,-0.5201,0.12864086,0.09913062,-0.98672396,185.51,117.08,94.29,1.0002783,-1.85345685,10.581375349999998,-0.1659811337298334,-0.16131978911129558,-0.9728433079877904,13.383067635614804,-14.081,23.736,-10.973,-5.7369360274807555,7.391059876126267,62.539671610295215,36.9
94953.977716871,-0.8607,0.0474,-0.0764,-0.5011,0.17901923999999997,0.005026280000000008,-0.98383256,45.52,-7.12,-48.07,1.14737805,3.7069137,10.9049948,0.1512337465682984,-0.3917818648951731,-0.9075431638705146,24.831942101881708,-14.081,23.727,-10.976,-0.2927145704179428,10.312638528630226,60.389023694314034,36.9
94954.017892533,-0.8491,0.0591,-0.0851,-0.5179,0.2057326,0.012217039999999998,-0.97853036,-77.4,-67.38,-77.5,-1.7357770499999998,2.9027684,9.0025047,0.271580536432742,-0.15735265026361914,-0.9494640512643808,18.29277182820917,-14.085,23.724,-10.975,-0.7153058213946932,11.872388110464158,62.683129530294686,36.9
94954.057793527,-0.8209,0.0958,-0.1169,-0.5507,0.29744054,0.028530780000000006,-0.9543135,3.26,-211.41,-71.0,3.1185147,-0.5295591,8.4729456,-0.2614509800801521,-0.5500436182294388,-0.7931529751951177,37.51871372132884,-14.09,23.725,-10.976,-1.712441987076304,17.303940694365426,67.45017633830206,36.9
94954.107909192,-0.7857,0.0855,-0.1655,-0.59,0.3609567,-0.0609353,-0.930599,163.28,0.74,-148.49,2.38301595,3.8442068,7.6295737,0.21027120347776634,-0.6503934229855441,-0.7299390992436923,43.119833128407116,-14.091,23.727,-10.982,3.746359615065758,21.158961869826598,74.5146140565763,36.9
94954.147931179,-0.7591,0.0356,-0.201,-0.6181,0.34916692,-0.19442828,-0.91666328,240.09,-24.45,-143.9,7.119627899999999,3.5500073,14.9845612,-0.09639287158565982,-0.7038289312862467,-0.7037852784136835,45.26795377287381,-14.094,23.732,-10.991,11.975208559800175,20.436368691490813,80.47205021556705,36.9
94954.197891758,-0.7407,-0.0034,-0.2237,-0.6335,0.32708138000000003,-0.28846466,-0.8998935,-10.08,92.98,-76.55,0.7943386499999999,2.44185585,7.63938035,-0.043911199712425464,-0.41631710433531044,-0.9081586226617556,24.747898633719515,-14.098,23.738,-10.993,17.77347189875224,19.09172255176573,84.09193048182387,36.9
94954.248040935,-0.7349,-0.0123,-0.1691,-0.6567,0.23238836000000002,-0.24017448,-0.9425078,-204.43,59.14,-14.52,4.314926,0.6668522,7.5903471,-0.19582634210441888,-0.6649717971804717,-0.7207638938044982,43.883488465602824,-14.102,23.745,-10.994,14.296132870179168,13.43772537588789,85.26458504286275,36.9
94954.287725388,-0.7411,0.079,-0.1038,-0.6586,0.25791116,-0.019631559999999992,-0.96596912,-84.89,234.62,26.06,3.7461403,4.746418599999999,6.6881353,0.43948889116699025,-0.6502300139831089,-0.6197171817631615,51.70449153671958,-14.105,23.747,-10.997,1.1642719092285843,14.94615379129853,83.40628750272427,36.9
94954.327826932,-0.7421,0.0166,-0.0373,-0.669,0.07757146000000001,-0.025269680000000006,-0.9966663,-89.49,328.54,37.96,1.7553903499999999,0.9414384,11.091321149999999,0.034525075242128965,-0.23656774656222063,-0.9709995609905194,13.831906664274264,-14.109,23.746,-11.0,1.4523776823994021,4.448986737257472,84.12206219396778,36.9
94954.367657162,-0.7496,0.0008,-0.0148,-0.6618,0.023247040000000004,-0.018389920000000004,-0.99956064,0.1,-3.94,-6.03,0.3334261,0.06864655,9.208444349999999,-0.018195825363226805,-0.057598363963358344,-0.9981741439975155,3.4630096165659405,-14.113,23.744,-11.0,1.054009031349914,1.3320772778298318,82.89857756431718,36.9
94954.417737335,-0.7502,-0.0026,-0.008,-0.6611,0.00856548,-0.014478640000000001,-0.99985848,1.24,-8.64,21.62,-0.14709974999999997,-0.0392266,10.198916,-0.017439946044704474,0.008113748451708737,-0.9998149512965724,1.1021514493001006,-14.116,23.743,-11.001,0.8296243969018856,0.4907718547415274,82.77428169536559,36.9
94954.457589221,-0.752,-0.0024,-0.0081,-0.6592,0.00901824,-0.014288639999999998,-0.99985726,-1.78,-6.97,0.11,0.17651969999999997,0.0588399,9.46341725,-0.011619592439701825,-0.02637207085241275,-0.9995846905762314,1.6514021486367896,-14.116,23.743,-11.0,0.8187399095883958,0.5167140947409848,82.48584207917703,36.9
94954.497725908,-0.7527,-0.0022,-0.0078,-0.6583,0.0088456,-0.01358136,-0.99986864,-0.5,-4.05,6.85,-0.22555294999999997,-0.22555294999999997,9.924329799999999,-0.03411670319389972,0.018585340793730178,-0.9992450033744243,2.2265322920211483,-14.116,23.743,-11.0,0.7782089818992658,0.5068221567602643,82.34731149422157,36.9
94954.53751087,-0.7542,-0.0018,-0.0077,-0.6566,0.009250920000000001,-0.01282676,-0.99987494,0.17,0.66,2.54,-0.196133,-0.22555294999999997,9.80665,-0.03398888738683203,0.015573278291500878,-0.9993008754180255,2.142604144859466,-14.116,23.743,-11.0,0.734970817791422,0.5300462329802617,82.08870849643864,36.9
94954.577507217,-0.7543,-0.0018,-0.0078,-0.6564,0.009404039999999999,-0.01295532,-0.99987184,0.0,0.0,0.0,0.1569064,0.14709974999999997,9.79684335,-0.00147435734222001,-0.0254546069441986,-0.999674874715519,1.4610442836675088,-14.116,23.743,-11.0,0.7423387614556234,0.5388197444121879,82.05773390278257,36.9
94954.617404869,-0.7543,-0.0017,-0.0079,-0.6564,0.00968618,-0.012935740000000001,-0.9998694,0.0,0.0,0.0,0.1569064,0.14709974999999997,9.80665,-0.0015065171861749199,-0.025718750284167303,-0.9996680659537127,1.4762651229088828,-14.116,23.743,-11.0,0.7412187629498884,0.5549859121571191,82.05790245044396,36.9
94954.667365126,-0.7543,-0.0016,-0.0081,-0.6564,0.010119179999999998,-0.01304744,-0.99986366,0.0,0.0,0.0,0.16671305,0.1569064,9.826263299999999,-0.0008518356781746731,-0.02722148849785798,-0.9996290438907106,1.5606328635081967,-14.116,23.743,-11.0,0.7476227484523674,0.5797962013965735,82.05825823411593,36.9
94954.71744414,-0.7543,-0.0016,-0.0082,-0.6564,0.010270040000000001,-0.013178720000000001,-0.9998604,0.0,0.0,0.0,0.14709974999999997,0.1569064,9.80665,-0.0006994849940832534,-0.025411525822767435,-0.9996768155496878,1.4566816124602007,-14.116,23.743,-11.0,0.7551467321656488,0.588440291904268,82.05844578632792,36.9
94954.757455129,-0.7543,-0.0015,-0.0084,-0.6564,0.01070304,-0.013290419999999999,-0.99985438,0.0,0.0,0.0,0.17651969999999997,0.14709974999999997,9.81645665,-0.0022863358977271552,-0.028635865157883682,-0.9995872736288939,1.6461619363367008,-14.116,23.743,-11.0,0.7615510276770607,0.6132507288359574,82.05881440103595,36.9
94954.797638816,-0.7543,-0.0019,-0.008,-0.6564,0.00957448,-0.01336874,-0.99986478,1.07,19.63,0.18,0.65704555,0.1569064,9.71839015,-0.007896862125435467,-0.07663458931450837,-0.997027600927266,4.418468612916717,-14.116,23.743,-11.0,0.7660303222326736,0.5485856767859643,82.0581109565269,36.9
94954.847740341,-0.752,-0.0063,-0.0036,-0.6591,-0.0028902600000000004,-0.01422072,-0.9998947,-1.95,8.63,-16.5,-0.14709974999999997,0.99047165,10.110656149999999,0.08487885460567467,0.006279349134768172,-0.9963712508680745,4.88239815058267,-14.116,23.744,-11.0,0.8148181085786491,-0.1655999302553691,82.46380474759363,36.9
94954.887755223,-0.7446,-0.0131,0.0033,-0.6673,-0.02239762,-0.01510434,-0.999635,0.81,58.51,-36.99,-0.4216859499999999,-0.18632634999999997,9.09076455,-0.02782826115704136,0.07214762762194682,-0.99700526485396,4.435024295998403,-14.116,23.746,-11.0,0.8656650507907389,-1.2833964157519762,83.71715230823303,36.9
94954.937585804,-0.7383,-0.0294,0.0198,-0.6736,-0.06884436,-0.01673748,-0.9974872,-0.92,19.12,-5.09,0.25497289999999995,0.7453053999999999,9.924329799999999,0.06186098856030156,0.03762547050233443,-0.997376143408029,4.152120497106422,-14.116,23.747,-11.0,0.9613125621041169,-3.9476137851328783,84.7240023895966,36.9
94954.987742528,-0.7309,-0.024,0.0134,-0.682,-0.05232412,-0.0168056,-0.99848888,0.83,-34.37,-42.74,-1.34351105,0.67665885,9.659550249999999,0.06559506934260578,0.18489894195477574,-0.9805693518246625,11.314183280719858,-14.116,23.747,-11.0,0.9642561507159476,-2.999320902765479,86.01576734370046,36.9
94955.027994786,-0.7218,-0.0152,0.0046,-0.6919,-0.02767432,-0.01557724,-0.9994956,-2.42,-41.93,-38.64,0.04903325,-0.17651969999999997,9.81645665,-0.03256328633103072,0.02407236536864968,-0.999179729634673,2.320828178028248,-14.116,23.747,-11.0,0.8928882296217392,-1.585824202834983,87.56282828053294,36.9
94955.067882323,-0.7188,-0.0023,-0.0076,-0.6952,0.00772784,-0.01387352,-0.9998739,-5.57,-56.94,3.31,-0.10787314999999999,0.8433718999999998,10.130269449999998,0.06918884415788001,0.0006008627285390127,-0.9976036058987249,3.9675474764268164,-14.116,23.746,-11.0,0.794943379411811,0.44277702389818,88.09295196232871,36.9
94955.11762709,-0.7193,-0.0006,-0.0095,-0.6946,0.01283318,-0.01406056,-0.99981878,1.86,-6.37,-8.54,-0.2745862,0.14709974999999997,9.855683249999998,0.0013849346170601694,0.014975146051927915,-0.9998868690291206,0.861706645024147,-14.116,23.746,-11.0,0.8057036526876118,0.7353072356940394,88.00079325020775,36.9
94955.157725128,-0.7157,0.0007,-0.0119,-0.6983,0.01801128,-0.015617560000000003,-0.9997158,-4.16,0.63,-13.31,-0.35303939999999995,0.5883989999999999,9.81645665,0.04462901804760734,0.016800904278027648,-0.998862317694958,2.7332822757603696,-14.116,23.746,-11.0,0.8950018517778779,1.032026132038585,88.59753579796147,36.9
94955.207526965,-0.7126,-0.0002,-0.0109,-0.7015,0.01525408,-0.015577740000000001,-0.9997623,-0.14,0.38,4.49,1.97113665,0.50013915,10.0420096,0.030309041021789856,-0.20782208329357682,-0.9776977195667707,12.123550845005305,-14.116,23.747,-11.0,0.8926787260058288,0.8740283024208216,89.1084768698114,36.9
94955.247614196,-0.7123,-0.0016,-0.0086,-0.7018,0.010005800000000002,-0.01435032,-0.99984696,-1.17,3.96,-6.37,0.55897905,0.0196133,9.81645665,-0.013321273859129354,-0.06664571207755803,-0.997687685023068,3.8970556249974764,-14.116,23.746,-11.0,0.8222821625352925,0.5732996770049915,89.15160393785588,36.9
94955.287515602,-0.7118,-0.002,-0.0084,-0.7023,0.009149039999999997,-0.014645839999999999,-0.99985088,-0.06,3.99,5.42,-0.12748644999999997,0.29419949999999995,9.855683249999998,0.015241539473855877,0.003575543803815747,-0.9998774250212845,0.8970204180466103,-14.116,23.746,-11.0,0.8392099532086964,0.5242086919120515,89.23167480495063,36.9
