poll_monotonic,state_stamp,age_ms,sensor_ms,is_valid,changed,gravity_x,gravity_y,gravity_z,gravity_norm,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_mps2,accel_y_mps2,accel_z_mps2,temp_c
81465.035685188,81465.0342177,1.467488007619977,42349.0,True,True,-0.13993766,-0.07319492,-0.98745078,0.9999995439612411,0.0,0.0,0.0,-1.3827376499999997,0.7256921,9.67916355,31.9
81465.046096934,81465.044219707,1.8772270123008639,42359.0,True,True,-0.13993766,-0.07319492,-0.98745078,0.9999995439612411,0.0,0.0,0.0,-1.36312435,0.7060787999999999,9.67916355,31.8
81465.056472942,81465.054495737,1.9772050000028685,42369.0,True,True,-0.13993766,-0.07319492,-0.98745078,0.9999995439612411,0.0,0.0,0.0,-1.36312435,0.7158854499999999,9.67916355,31.9
81465.064742299,81465.064256468,0.4858309985138476,42379.0,True,True,-0.13993766,-0.07319492,-0.98745078,0.9999995439612411,0.0,0.0,0.0,-1.3729310000000001,0.7256921,9.67916355,31.9
81465.075158818,81465.074207368,0.9514499979559332,42389.0,True,True,-0.13993766,-0.07319492,-0.98745078,0.9999995439612411,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.669356899999999,31.8
81465.085559853,81465.084223555,1.3362980098463595,42399.0,True,True,-0.13993766,-0.07319492,-0.98745078,0.9999995439612411,0.0,0.0,0.0,-1.3827376499999997,0.7060787999999999,9.67916355,31.9
81465.095971835,81465.094281884,1.6899510083021596,42409.0,True,True,-0.13993766,-0.07319492,-0.98745078,0.9999995439612411,0.0,0.0,0.0,-1.36312435,0.7158854499999999,9.67916355,31.9
81465.10430724,81465.104244199,0.06304100679699332,42419.0,True,True,-0.13993766,-0.07319492,-0.98745078,0.9999995439612411,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.67916355,31.8
81465.114658955,81465.114225496,0.43345900485292077,42429.0,True,True,-0.13993766,-0.07319492,-0.98745078,0.9999995439612411,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.67916355,31.8
81465.125074324,81465.124388066,0.6862579903099686,42439.0,True,True,-0.13993766,-0.07319492,-0.98745078,0.9999995439612411,0.0,0.0,0.0,-1.36312435,0.7060787999999999,9.6889702,31.8
81465.135376393,81465.134276239,1.1001539969583973,42449.0,True,True,-0.13993766,-0.07319492,-0.98745078,0.9999995439612411,0.0,0.0,0.0,-1.3827376499999997,0.7256921,9.67916355,31.9
81465.145668049,81465.144236199,1.4318499888759106,42459.0,True,True,-0.13993766,-0.07319492,-0.98745078,0.9999995439612411,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.6889702,31.8
