host_monotonic_ns,host_dt_ms,sensor_ms,sensor_dt_ms,gravity_x,gravity_y,gravity_z,gravity_norm,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_mps2,accel_y_mps2,accel_z_mps2,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,temp_c
75997669096003,,35029.0,,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.42224255,0.6864655000000001,9.473223899999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997679167737,10.071734,35039.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.42224255,0.6864655000000001,9.483030549999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997689189401,10.021664,35049.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.40262925,0.6962721499999999,9.483030549999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997699069856,9.880455,35059.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.42224255,0.6864655000000001,9.473223899999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997709124128,10.054272,35069.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.4320492,0.6864655000000001,9.483030549999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997719173727,10.049599,35079.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.4320492,0.67665885,9.492837199999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997729111240,9.937513,35089.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.4124358999999997,0.6864655000000001,9.473223899999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997739114250,10.00301,35099.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.42224255,0.6864655000000001,9.492837199999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997749020758,9.906508,35109.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.42224255,0.6864655000000001,9.483030549999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997759054895,10.034137,35119.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.42224255,0.6962721499999999,9.483030549999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997769009729,9.954834,35129.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.42224255,0.6864655000000001,9.473223899999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997779056667,10.046938,35139.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.4320492,0.6962721499999999,9.473223899999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997789076251,10.019584,35149.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.42224255,0.7060787999999999,9.483030549999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997799093130,10.016879,35159.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.4124358999999997,0.7060787999999999,9.473223899999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997809168963,10.075833,35169.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.42224255,0.6962721499999999,9.483030549999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997819214150,10.045187,35179.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.42224255,0.6962721499999999,9.483030549999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997829254336,10.040186,35189.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.4320492,0.6864655000000001,9.473223899999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997839090248,9.835912,35199.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.42224255,0.6962721499999999,9.473223899999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997849265055,10.174807,35209.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.4124358999999997,0.6962721499999999,9.483030549999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997859302916,10.037861,35219.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.42224255,0.7060787999999999,9.473223899999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997869087330,9.784414,35229.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.40262925,0.6864655000000001,9.473223899999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.3
75997879271427,10.184097,35239.0,10.0,-0.2466478,-0.07057191999999998,-0.96653388,1.0000016371612503,0.0,0.0,0.0,-2.4124358999999997,0.6864655000000001,9.473223899999999,-0.6465,-0.1175,0.0541,-0.7519,4.176067233511821,-14.27923451904686,98.1002771729469,30.4
