terrain,regime,body,F_or_M,rms,p99,max
rough,stage4_rough,foot_link,M,17.0,46.5,201.6
rough,stage4_rough,toe_link,M,2.1,7.6,35.7
rough,R2_rough_40k,hip_pitch_link,M,26.9,78.5,143.1
rough,R2_rough_40k,hip_roll_link,M,27.2,79.5,143.7
rough,R2_rough_40k,thigh_link,M,27.6,81.2,143.9
rough,R2_rough_40k,shin_link,M,30.0,88.9,333.7
rough,R2_rough_40k,ankle_pitch_link,M,36.3,120.3,689.4
rough,R2_rough_40k,foot_link,M,36.6,124.5,697.4
rough,roughP2_final,hip_pitch_link,M,30.1,86.1,231.3
rough,roughP2_final,hip_roll_link,M,30.3,87.3,238.7
rough,roughP2_final,thigh_link,M,30.6,89.2,242.6
rough,roughP2_final,shin_link,M,33.3,104.3,322.6
rough,roughP2_final,ankle_pitch_link,M,45.2,167.1,612.1
rough,roughP2_final,foot_link,M,45.7,172.7,614.0
