speed_rpm,torque_Nm
95,120.09
100,116.5
105,112.91
110,109.32
115,105.88
120,102.31
125,98.89
130,95.15
135,91.37
140,87.31
145,82.82
150,78.03
155,68.62
160,60.27
165,55.81
170,52.44
175,49.15
180,45.21
185,38.51
188,26.67
190,11.2
