speed_rpm,torque_Nm
120,59.68
122,58.92
124,58.15
126,57.42
128,56.75
130,55.99
132,55.22
134,54.46
136,53.76
138,52.95
140,52.05
142,51.21
144,50.25
146,49.24
148,48.24
150,47.15
152,46.05
154,44.96
156,43.86
158,42.74
160,41.55
162,40.33
164,39.16
166,37.9
168,36.62
170,35.37
172,34.08
174,32.68
176,31.27
178,29.95
180,28.39
182,26.64
184,24.52
186,21.76
187,19.95
188,10.11
