speed_rpm,torque_Nm
100,13.98
105,13.8
110,13.61
115,13.41
120,13.22
125,13.07
130,12.85
135,12.65
140,12.46
145,12.23
150,11.99
155,11.76
160,11.51
165,11.26
170,11.02
175,10.74
180,10.49
185,10.24
190,9.97
195,9.7
200,9.42
205,9.14
210,8.85
215,8.57
220,8.28
225,8.0
230,7.72
235,7.41
240,7.11
245,6.8
250,6.48
255,6.15
260,5.8
265,5.41
270,5.01
275,4.57
280,4.12
285,3.65
290,3.14
295,2.61
300,2.08
305,1.55
310,1.03
315,0.54
